RecordID,TournamentName,Date,TournamentStage,Winner,RunnerUp,WinnerScore,RunnerUpScore,TotalParticipants,Status
T001,APUEC 2024 Spring Championship,2024-03-15,Final,Alex Chen,Sarah Wong,3,1,64,completed
T002,APUEC 2024 Summer Cup,2024-06-20,Final,Michael Tan,David Kumar,2,0,48,completed
T003,APUEC 2024 Autumn League,2024-09-10,Final,Emily Lim,Lisa Zhang,3,2,56,completed
T004,APUEC 2024 Winter Championship,2024-12-05,Final,Ryan Singh,Amanda Lee,2,1,72,completed
T005,APUEC 2025 New Year Cup,2025-01-20,Final,Sarah Wong,Jason Ng,3,0,40,completed
T006,APUEC 2025 Spring Qualifier,2025-03-01,Qualifier,TBD,TBD,0,0,128,ongoing
T007,APUEC 2025 Spring Semi-Final,2025-03-08,Semi-Final,TBD,TBD,0,0,64,scheduled
T008,APUEC 2025 Spring Group A,2025-02-15,Group Stage,Team Alpha,Team Beta,2,1,16,completed
T009,APUEC 2025 Spring Group B,2025-02-16,Group Stage,Team Gamma,Team Delta,2,0,16,completed
T010,APUEC 2025 Wildcard Entry,2025-02-28,Wildcard,Team Echo,Team Foxtrot,3,1,8,completed
